SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018
040,06,000,00000,00000,00000,0,A,California,California,37253956,37254523,37320903,37641823,37960782,38280824,38625139,38953142,39209127,39399349,39557045
162,06,000,00296,00000,00000,0,A,Adelanto city,California,31765,31760,31663,31871,31102,31229,32553,33001,33299,34001,34160
162,06,000,00394,00000,00000,0,A,Agoura Hills city,California,20330,20330,20331,20472,20547,20600,20662,20761,20693,20600,20472
162,06,000,00562,00000,00000,0,A,Alameda city,California,73812,73812,73950,74694,75655,76511,77550,78467,79061,78940,78338
162,06,000,00674,00000,00000,0,A,Albany city,California,18539,18538,18563,18745,18986,19219,19470,19689,19729,20075,19908
162,06,000,00884,00000,00000,0,A,Alhambra city,California,83089,83118,83163,83607,84157,84395,84865,84950,85358,85014,84649
162,06,000,00947,00000,00000,0,A,Aliso Viejo city,California,47823,48098,48227,48908,49487,50001,50014,49988,51368,51492,51783
162,06,000,01444,00000,00000,0,A,Alturas city,California,2827,2827,2832,2770,2717,2651,2637,2620,2578,2537,2509
162,06,000,01514,00000,00000,0,A,Amador City city,California,185,182,182,182,181,180,182,186,188,189,190
162,06,000,01640,00000,00000,0,A,American Canyon city,California,19454,19563,19637,19851,20030,20254,20329,20375,20350,20168,20359
162,06,000,02000,00000,00000,0,A,Anaheim city,California,336265,336443,337106,340202,342526,344369,345223,348967,350848,351301,352005
162,06,000,02042,00000,00000,0,A,Anderson city,California,9932,9932,9940,9990,10027,10090,10158,10148,10162,10346,10476
162,06,000,02112,00000,00000,0,A,Angels city,California,3836,3812,3803,3772,3745,3730,3731,3751,3842,3874,3897
162,06,000,02252,00000,00000,0,A,Antioch city,California,102372,102745,103082,104194,105580,107384,109119,110326,111074,111419,111535
162,06,000,02364,00000,00000,0,A,Apple Valley town,California,69135,69146,69309,70030,70405,70741,71193,71809,72332,72940,73508
162,06,000,02462,00000,00000,0,A,Arcadia city,California,56364,56327,56348,56627,56850,57279,57593,57934,58359,58498,58610
162,06,000,02476,00000,00000,0,A,Arcata city,California,17231,17403,17671,17897,17866,17854,17867,17941,18099,18147,18257
162,06,000,02868,00000,00000,0,A,Arroyo Grande city,California,17252,17282,17300,17362,17531,17707,17870,18040,18067,18089,18087
162,06,000,02896,00000,00000,0,A,Artesia city,California,16522,16522,16520,16574,16638,16690,16768,16849,16846,16828,16750
162,06,000,02924,00000,00000,0,A,Arvin city,California,19304,19304,19346,19679,20066,20271,20515,20768,21037,21167,21522
162,06,000,03064,00000,00000,0,A,Atascadero city,California,28310,28306,28410,28585,28720,29006,29338,29923,30194,30366,30330
162,06,000,03092,00000,00000,0,A,Atherton town,California,6914,6920,6916,6951,7026,7091,7133,7168,7238,7215,7187
162,06,000,03162,00000,00000,0,A,Atwater city,California,28168,28215,28287,28532,28632,28733,28886,29081,29235,29297,29479
162,06,000,03204,00000,00000,0,A,Auburn city,California,13330,13312,13345,13520,13611,13819,13881,13877,13928,13984,14103
162,06,000,03274,00000,00000,0,A,Avalon city,California,3728,3728,3728,3742,3756,3764,3772,3773,3762,3747,3723
162,06,000,03302,00000,00000,0,A,Avenal city,California,15505,15505,15279,15094,14855,14137,13267,13247,12447,12413,13218
162,06,000,03386,00000,00000,0,A,Azusa city,California,46361,46567,46528,46722,47369,47911,48596,49552,49749,49866,49958
162,06,000,03526,00000,00000,0,A,Bakersfield city,California,347483,348255,349408,353640,357858,363449,367705,372295,375844,379171,383579
162,06,000,03666,00000,00000,0,A,Baldwin Park city,California,75390,75397,75425,75762,76213,76413,76450,76523,76337,76064,75813
162,06,000,03820,00000,00000,0,A,Banning city,California,29603,29590,29721,29986,30217,30431,30617,30763,30968,31152,31253
162,06,000,04030,00000,00000,0,A,Barstow city,California,22639,22750,22811,23018,23121,23307,23493,23697,23905,23985,23972
162,06,000,04758,00000,00000,0,A,Beaumont city,California,36877,36859,37253,38506,39288,40351,42020,43511,45208,46899,49241
162,06,000,04870,00000,00000,0,A,Bell city,California,35477,35473,35486,35650,35777,35876,35913,35938,35814,35654,35728
