Metro Area,Industry,Establishments 2007,Employment 2007,Annual Payroll 2007,Establishments 2008,Employment 2008,Annual Payroll 2008,Establishments 2009,Employment 2009,Annual Payroll 2009,Establishments 2010,Employment 2010,Annual Payroll 2010,Establishments 2011,Employment 2011,Annual Payroll 2011,Establishments 2012,Employment 2012,Annual Payroll 2012,Establishments 2013,Employment 2013,Annual Payroll 2013,Establishments 2014,Employment 2014,Annual Payroll 2014,Establishments 2015,Employment 2015,Annual Payroll 2015,Establishments 2016,Employment 2016,Annual Payroll 2016
Austin,Manufacturing,"1671,239","1,66848,312","86,6542,608,297","1801,266","1,86445,819","116,5872,624,636","1841,219","1,68042,278","101,4582,366,965","1891,217","1,76934,928","116,0212,009,837","2061,225","2,07336,452","139,2382,310,570","2051,298","2,02737,421","157,7912,384,511","2061,270","2,20541,963","174,2792,833,819","2161,299","2,44042,592","202,5902,824,143","2091,338","2,46840,823","175,6772,635,077","1871,376","2,13840,296","155,5412,664,829"
Austin,Tech-related,"1,0076,239","24,50961,307","1,764,5344,263,545","9816,293","25,83764,167","1,873,2764,545,196","9646,378","25,88864,143","1,840,8504,878,615","9726,709","24,24564,243","1,813,1885,081,125","9906,897","24,06064,489","1,784,0955,216,742","1,0727,277","27,45769,806","2,150,6495,546,267","1,0737,591","28,04374,214","2,195,6446,403,975","1,1297,984","31,85778,996","2,998,5746,963,470","1,1848,433","34,34685,828","3,227,6227,959,042","1,2058,805","35,538102,096","3,214,2599,848,185"
Boston,Manufacturing,"425,054","523179,741","26,10711,618,709","485,000","579175,921","36,69210,999,921","454,736","491159,618","28,0419,938,530","474,568","448151,795","28,0949,887,695","454,487","465150,141","32,15610,652,314","454,533","421152,727","28,47210,865,274","454,435","397152,822","25,72410,900,455","464,439","387149,577","29,34110,888,699","414,395","373150,651","27,70811,043,139","414,355","402148,498","28,00911,011,280"
Boston,Tech-related,"2,99418,095","91,919229,615","7,655,20320,279,071","3,05617,458","91,343229,414","7,976,74121,049,908","2,85817,170","87,665223,575","7,696,51820,193,936","2,77717,155","83,961220,311","7,687,68221,082,177","2,78717,030","81,632220,434","7,477,65222,201,231","2,86317,308","91,632225,649","9,109,14823,398,601","2,97717,292","99,110229,197","10,250,67123,552,539","2,96017,304","101,642229,073","11,164,43824,294,538","2,88517,366","103,451242,031","11,821,76626,886,895","2,94917,443","103,219250,409","11,944,52428,081,377"
Chicago,Manufacturing,"9311,983","3,209464,048","154,92924,491,059","9311,734","2,164463,505","153,67624,871,226","9211,165","1,621408,017","121,65221,060,052","8810,742","1,624382,055","130,15121,608,330","9310,601","1,674384,510","134,64822,370,644","8710,484","1,126386,289","100,22023,022,334","8110,300","1,314386,575","112,05823,396,212","8310,251","1,511388,104","123,05724,335,827","8410,194","1,623384,784","113,19424,062,435","9010,175","1,574383,614","116,65124,475,335"
Chicago,Tech-related,"4,23033,899","99,862320,463","7,025,57724,284,546","4,19533,147","106,770322,339","7,854,40924,996,342","4,10932,680","102,708312,688","7,438,79523,906,014","4,03432,990","98,320302,341","7,150,33924,468,013","3,98232,868","97,097301,315","7,459,70724,787,405","3,95933,235","99,280322,583","7,896,45727,218,619","3,98933,213","104,532324,703","8,055,11728,362,742","4,11633,555","106,180329,265","8,621,26629,124,885","4,08633,708","104,470338,120","8,933,74531,198,926","4,20833,607","104,360340,278","9,056,05131,805,742"
Detroit,Manufacturing,"445,936","532229,456","26,17513,162,090","445,813","451221,027","26,60911,988,159","425,481","436181,310","27,0479,478,056","415,318","449166,761","26,9099,976,829","415,325","398185,056","27,79311,101,325","405,377","396194,300","25,59911,832,781","415,356","382207,036","32,56212,247,595","395,325","296211,506","23,77812,923,946","395,353","344226,099","24,99214,197,937","385,315","363229,757","25,12914,398,159"
Detroit,Tech-related,"1,75912,066","41,180176,718","2,737,78011,994,453","1,61411,661","41,069166,858","2,774,54011,759,627","1,45311,375","40,032155,805","2,600,52811,163,871","1,42211,414","36,211151,715","2,455,97811,364,672","1,42111,362","37,986157,680","2,718,28711,462,383","1,40011,380","36,765155,776","2,763,12811,529,171","1,44511,307","38,848159,919","2,899,14812,120,175","1,52411,275","38,536162,799","2,994,69112,843,840","1,58111,313","37,495169,769","2,840,52513,629,039","1,75011,354","34,731176,051","2,666,64414,539,617"
Houston,Manufacturing,"1,2085,417","62,927208,654","3,624,28612,402,568","1,2995,427","36,401215,569","4,488,28313,145,030","1,2565,266","36,721209,879","4,522,99612,026,633","1,3065,152","36,042192,992","5,037,51812,051,079","1,3735,221","41,078197,530","5,866,52113,263,189","1,4585,351","50,439214,878","7,101,37214,658,846","1,4635,331","56,101223,777","8,248,71015,100,188","1,5095,408","56,839225,396","8,697,29615,797,445","1,5575,425","60,781226,607","8,243,86615,087,620","1,4935,354","51,604198,513","7,017,97013,476,079"
Houston,Tech-related,"1,83416,132","45,763190,593","2,933,11815,088,205","1,76015,875","44,649198,094","3,265,62316,217,903","1,72015,977","43,530185,484","3,080,90814,750,739","1,67916,267","41,974175,650","3,041,94214,457,092","1,65216,601","45,912179,775","3,686,86415,623,953","1,67117,001","40,298205,213","3,152,96219,110,198","1,69617,407","42,858210,426","3,414,38719,569,025","1,73018,161","44,834211,665","3,494,84519,871,660","1,77118,608","41,959207,269","3,491,20819,412,867","1,87118,748","43,484203,825","3,646,42418,112,509"
