CSDUID,CSD Name,Year,Indicator,Value
4801003,Cypress County,1998,Number of Businesses,458
4801006,Medicine Hat,1998,Number of Businesses,1836
4801008,Forty Mile County No. 8,1998,Number of Businesses,147
4801009,Foremost,1998,Number of Businesses,97
4801014,Bow Island,1998,Number of Businesses,171
4801018,Redcliff,1998,Number of Businesses,163
4802001,Warner County No. 5,1998,Number of Businesses,79
4802002,Coutts,1998,Number of Businesses,27
4802004,Milk River,1998,Number of Businesses,86
4802006,Warner,1998,Number of Businesses,51
4802008,Raymond,1998,Number of Businesses,99
4802009,Stirling,1998,Number of Businesses,27
4802011,Lethbridge County,1998,Number of Businesses,627
4802012,Lethbridge,1998,Number of Businesses,2527
4802013,Coalhurst,1998,Number of Businesses,46
4802014,Nobleford,1998,Number of Businesses,30
4802016,Barons,1998,Number of Businesses,25
4802018,Picture Butte,1998,Number of Businesses,156
4802019,Coaldale,1998,Number of Businesses,121
4802022,Taber,1998,Number of Businesses,623
4802023,Barnwell,1998,Number of Businesses,27
4802029,Vauxhall,1998,Number of Businesses,126
4802031,Newell County,1998,Number of Businesses,472
4813018,Barrhead County No. 11,1998,Number of Businesses,352
4802034,Brooks,1998,Number of Businesses,287
4802036,Duchess,1998,Number of Businesses,54
4802038,Rosemary,1998,Number of Businesses,18
4802039,Bassano,1998,Number of Businesses,93
4803001,Cardston County,1998,Number of Businesses,47
4803002,Magrath,1998,Number of Businesses,76
4812038,Improvement District No. 349,1998,Number of Businesses,111
4803004,Cardston,1998,Number of Businesses,190
4803006,Glenwood,1998,Number of Businesses,9
4810058,Lamont County,1998,Number of Businesses,12
4803011,Pincher Creek No. 9,1998,Number of Businesses,29
4803014,Pincher Creek,1998,Number of Businesses,295
4803016,Cowley,1998,Number of Businesses,20
4803018,Willow Creek No. 26,1998,Number of Businesses,4
4803019,Fort Macleod,1998,Number of Businesses,230
4803021,Granum,1998,Number of Businesses,31
4803022,Claresholm,1998,Number of Businesses,203
4803024,Stavely,1998,Number of Businesses,31
4803026,Nanton,1998,Number of Businesses,173
4803802,Blood 148,1998,Number of Businesses,17
4804001,Acadia No. 34,1998,Number of Businesses,22
4804004,Special Area No. 2,1998,Number of Businesses,50
4804006,Empress,1998,Number of Businesses,12
4804011,Hanna,1998,Number of Businesses,188
4804012,Special Area No. 3,1998,Number of Businesses,37
4804014,Oyen,1998,Number of Businesses,77
4804016,Cereal,1998,Number of Businesses,19
